Date,Queries
2014-06-19,5461542
2014-06-20,5202639
2014-06-21,4544715
2014-06-22,4814701
2014-06-23,5591911
2014-06-24,5450564
2014-06-25,5462832
2014-06-26,5240815
2014-06-27,4997603
2014-06-28,4455081
2014-06-29,4835189
2014-06-30,5466430
2015-06-01,8174157
2015-06-02,8896272
2015-06-03,8724298
2015-06-04,8425782
2015-06-05,8582887
2015-06-06,7746020
2015-06-07,7806224
2015-06-08,9127737
2015-06-09,8993116
2015-06-10,8819713
2015-06-11,8642129
2015-06-12,8249313
2015-06-13,7495380
2015-06-14,7964435
2015-06-15,9069185
2015-06-16,8926279
2015-06-17,8916511
2015-06-18,9069462
2015-06-19,8532823
2015-06-20,7735826
2015-06-21,8002971
2015-06-22,9410198
2015-06-23,9213278
2015-06-24,9040824
2015-06-25,8940219
2015-06-26,8530991
2015-06-27,7735917
2015-06-28,8050683
2015-06-29,9113784
